page_no,institute,branch,seat_type,category,ur_opening,ur_closing,cat_opening,cat_closing
1,B.C.E. BAKHTIYARPUR,CIVIL ENGINEERING,Female,UR,73,662,,
1,B.C.E. BAKHTIYARPUR,CIVIL ENGINEERING,General,SC,,,23,27
1,B.C.E. BAKHTIYARPUR,CIVIL ENGINEERING,General,EWS,,,53,53
1,B.C.E. BAKHTIYARPUR,CIVIL ENGINEERING,General,E-UR,13,13,,
1,B.C.E. BAKHTIYARPUR,CIVIL ENGINEERING,General,EBC,,,38,119
1,B.C.E. BAKHTIYARPUR,COMPUTER SC. & ENGINEERING,Female,UR,40,137,,
1,B.C.E. BAKHTIYARPUR,COMPUTER SC. & ENGINEERING,General,DQ,,,5,40
1,B.C.E. BAKHTIYARPUR,COMPUTER SCIENCE & ENGG (INTERNET OF THINGS),General,UR,104,213,,
1,B.C.E. BAKHTIYARPUR,COMPUTER SCIENCE & ENGG (INTERNET OF THINGS),Female,UR,140,140,,
1,B.C.E. BAKHTIYARPUR,COMPUTER SCIENCE & ENGG (INTERNET OF THINGS),General,E-UR,138,138,,
1,B.C.E. BAKHTIYARPUR,COMPUTER SCIENCE & ENGG (INTERNET OF THINGS),General,DQ,,,19,69
1,B.C.E. BAKHTIYARPUR,COMPUTER SCIENCE & ENGG (INTERNET OF THINGS),General,BC,,,81,81
1,B.C.E. BAKHTIYARPUR,ELECTRICAL & ELECTRONICS ENGINEERING,General,UR,179,712,,
1,B.C.E. BAKHTIYARPUR,ELECTRICAL & ELECTRONICS ENGINEERING,Female,UR,148,508,,
1,B.C.E. BAKHTIYARPUR,ELECTRICAL & ELECTRONICS ENGINEERING,Female,SC,,,324,469
1,B.C.E. BAKHTIYARPUR,ELECTRICAL & ELECTRONICS ENGINEERING,Female,EBC,,,329,607
1,B.C.E. BAKHTIYARPUR,ELECTRICAL & ELECTRONICS ENGINEERING,General,BC,,,113,374
1,B.C.E. BAKHTIYARPUR,ELECTRICAL & ELECTRONICS ENGINEERING,Female,BC,,,196,309
1,B.C.E. BAKHTIYARPUR,FIRE TECHNOLOGY & SAFETY,General,UR,2469,3717,,
1,B.C.E. BAKHTIYARPUR,FIRE TECHNOLOGY & SAFETY,Female,UR,4281,17512,,
1,B.C.E. BAKHTIYARPUR,FIRE TECHNOLOGY & SAFETY,General,SMQ,,,27,27
1,B.C.E. BAKHTIYARPUR,FIRE TECHNOLOGY & SAFETY,General,SC,,,1142,1462
1,B.C.E. BAKHTIYARPUR,FIRE TECHNOLOGY & SAFETY,Female,SC,,,1174,1174
1,B.C.E. BAKHTIYARPUR,FIRE TECHNOLOGY & SAFETY,General,RCG,,,4075,4075
1,B.C.E. BAKHTIYARPUR,FIRE TECHNOLOGY & SAFETY,General,EWS,,,640,753
1,B.C.E. BAKHTIYARPUR,FIRE TECHNOLOGY & SAFETY,Female,EWS,,,1216,1216
1,B.C.E. BAKHTIYARPUR,FIRE TECHNOLOGY & SAFETY,Female,E-EBC,,,4563,4563
1,B.C.E. BAKHTIYARPUR,FIRE TECHNOLOGY & SAFETY,Female,EBC,,,3162,3646
1,B.C.E. BAKHTIYARPUR,FIRE TECHNOLOGY & SAFETY,General,BC,,,1232,1232
1,B.C.E. BAKHTIYARPUR,MECHANICAL ENGINEERING,General,UR,144,637,,
1,B.C.E. BAKHTIYARPUR,MECHANICAL ENGINEERING,Female,UR,626,2306,,
1,B.C.E. BAKHTIYARPUR,MECHANICAL ENGINEERING,General,SC,,,66,664
1,B.C.E. BAKHTIYARPUR,MECHANICAL ENGINEERING,Female,SC,,,966,1663
1,B.C.E. BAKHTIYARPUR,MECHANICAL ENGINEERING,General,RCG,,,971,3261
1,B.C.E. BAKHTIYARPUR,MECHANICAL ENGINEERING,Female,EWS,,,507,1216
1,B.C.E. BAKHTIYARPUR,MECHANICAL ENGINEERING,General,E-RCG,,,1877,1877
1,B.C.E. BAKHTIYARPUR,MECHANICAL ENGINEERING,Female,EBC,,,1786,3959
1,B.C.E. BAKHTIYARPUR,MECHANICAL ENGINEERING,Female,BC,,,679,5123
1,B.C.E. BHAGALPUR,CIVIL ENGINEERING,General,UR,15,122,,
1,B.C.E. BHAGALPUR,CIVIL ENGINEERING,General,SC,,,9,9
1,B.C.E. BHAGALPUR,CIVIL ENGINEERING,Female,SC,,,31,31
1,B.C.E. BHAGALPUR,CIVIL ENGINEERING,General,RCG,,,16,187
1,B.C.E. BHAGALPUR,CIVIL ENGINEERING,General,EWS,,,31,32
1,B.C.E. BHAGALPUR,CIVIL ENGINEERING,General,DQ,,,35,61
2,B.C.E. BHAGALPUR,CIVIL ENGINEERING,General,BC,,,144,144
2,B.C.E. BHAGALPUR,COMPUTER SC. & ENGINEERING,Female,UR,22,161,,
2,B.C.E. BHAGALPUR,COMPUTER SC. & ENGINEERING,General,SMQ,,,1,1
2,B.C.E. BHAGALPUR,COMPUTER SC. & ENGINEERING,General,SC,,,6,13
2,B.C.E. BHAGALPUR,COMPUTER SC. & ENGINEERING,General,EBC,,,4,27
